economy,cluster,gdp_per_capita,ai_readiness,gdp_growth,arm_relative
MUS,0,11934.770909957,0.0,4.92512304864294,0
MWI,2,551.95152347056,0.0,1.6734340852915,0
MYS,1,11883.79127749,0.0,5.10545921024041,0
NAC,1,63990.5959352171,95.6,2.69993075266272,0
NAM,0,4034.35053463284,0.0,3.71154502416731,0
NCL,0,30858.7237060533,0.0,-13.5,0
NER,2,595.151744559316,0.0,10.3000000007793,0
NGA,2,2324.64881202751,0.0,4.06236408888319,0
NIC,2,2290.47162505995,0.0,3.5878302292345,0
NLD,1,51178.5256968147,0.0,1.08100584845663,0
NOR,1,79667.5272314776,0.0,2.09723059960317,0
NPL,2,1179.81272768386,0.0,3.66537430744967,0
NRU,0,8570.95582950675,83.01170349,1.38888888888904,1
NZL,1,42408.2378731636,0.0,1.28862004711685,0
OED,1,40461.3496678975,0.0,1.80676868744605,0
OMN,0,17347.2911339051,0.0,1.63163221127449,0
OSS,0,12597.7224556377,0.0,2.8832579743179,0
PAK,2,1634.56735260799,0.0,3.04898287335465,0
PAN,0,17122.720655567,0.0,2.74788545546916,0
PER,0,6711.19403272527,0.0,3.30394098171516,0
PHL,1,3925.3048697218,0.0,5.69201612823412,0
PLW,1,13128.1314312511,59.92346042480823,2.21599800170485,0
PNG,2,2564.73748186493,0.0,3.79979560086888,0
POL,1,18000.5034591285,0.0,3.02841630700273,0
PRE,2,1440.28390969245,0.0,3.31272809044805,0
PRI,0,30971.2620550191,0.0,3.17707554784896,0
PRT,0,22647.3791895579,0.0,2.13967177177636,0
PRY,0,6640.83816613117,0.0,4.24996010464072,0
PSE,0,2072.09019517685,0.0,-26.5575264529877,1
PSS,0,3921.37323131971,0.0,3.39271983855302,0
PST,1,46567.2575677716,0.0,1.79546895973735,0
PYF,0,20846.6514059991,0.0,1.12638897730247,0
QAT,0,62157.3751791848,0.0,2.35970586926597,0
ROU,0,12459.9112061891,0.0,0.916003764382594,1
RUS,0,11043.259765625,0.0,4.34437475491529,0
RWA,2,1070.45003770926,0.0,8.89065529573114,0
SAS,2,2355.24832417956,67.8,6.23259967615652,0
SAU,0,24963.3322139095,0.0,1.99650173436159,0
SDN,2,578.38916015625,0.0,-13.9643375197179,0
SEN,2,1511.89280670234,0.0,6.06055141198976,0
SGP,1,67706.8336149739,0.0,4.38802362461865,0
SLB,2,1806.38367324387,0.0,2.99755987604104,0
SLE,2,1137.29005673054,0.0,4.29322336690163,0
SLV,0,4585.22599757795,0.0,2.60202016121069,0
SMR,0,51323.7972635865,63.06328831452648,0.401934896977224,0
SOM,2,467.269910194415,0.0,4.11139335779471,0
SRB,0,8580.26105823259,0.0,3.94992622592932,0
SSA,2,1668.197792687,36.5,3.36470475625489,0
SSD,2,1080.14718624765,0.0,-10.7933646271143,0
SSF,2,1589.32982537075,35.7,3.59733324708962,0
SST,2,12776.0630940034,0.0,6.12150935431907,0
STP,0,1368.14347554019,0.0,1.09999940100751,1
SUR,0,7246.2576795921,0.0,1.72095737011739,1
SVK,0,19776.1758069498,0.0,1.93867445549446,0
SVN,1,26134.627203987,0.0,1.73139722479493,0
SWE,1,54209.9474264877,95.76629783,0.820071806703865,0
SWZ,0,3864.20550510839,0.0,2.97391075973985,0
SXM,0,34840.1808966872,0.0,3.00000000000014,0
SYC,0,16586.4074964781,31.70403251488429,3.46568066415341,0
SYR,2,712.272278200037,0.0,0.732781301861365,0
TCA,0,57179.29601876,0.0,5.63682517443362,0
TCD,2,849.707321000625,0.0,4.19925854085865,0
TEA,1,10242.3676287334,88.9,4.96151507087535,0
TEC,0,10447.7265615175,90.8,3.80534822218803,0
TGO,2,931.029965529857,0.0,6.53204505563791,0
THA,0,6574.46109387985,24.53882210372805,2.54182067735289,0
TJK,2,1496.33813395037,0.0,8.39999980983981,0
TKM,2,8231.49544263659,0.0,6.2994265836889,0
TLA,0,8746.2934214582,83.9,2.2781470509277,0
TLS,2,1149.21888298011,0.0,-9.10069369772735,1
TMN,0,3029.88305321206,60.2,2.41973722378488,0
TON,0,4680.29974543195,0.0,2.79014366862668,0
TSA,2,2355.24832417956,67.8,6.23259967615652,0
TSS,2,1589.32982537075,35.2,3.59733324708967,0
TTO,0,16312.4849555716,0.0,2.50920813979569,0
TUN,0,4006.20588267443,0.0,1.61444564976986,1
TUR,0,15395.0278894893,89.77024003,3.3276230893799,0
TUV,2,4773.34085526672,9.67548076923075,3.85280919517032,0
TZA,2,1120.77416992188,0.0,5.5263138305945,0
UGA,2,986.090145363924,0.0,6.05558075875589,0
UKR,0,2219.04248046875,33.38254658267797,2.9138222142611,0
UMC,1,10332.0594464473,88.8,4.17952127549748,0
URY,0,18958.6033293537,0.0,3.10825478066172,0
USA,1,66356.1706750101,0.0,2.79300127716779,0
UZB,0,3890.41593075015,29.9043491463196,6.49999999997677,0
VCT,0,9485.18771201686,0.0,4.06183490050209,0
VEN,0,1501.02277449885,0.0,5.29999999999984,0
VIR,0,36983.431060272,0.0,-1.31123206333498,0
VNM,0,4017.74604111554,0.0,7.09118746633975,0
VUT,2,2697.09183254533,0.0,0.942185362275907,1
WLD,1,11851.505171614,73.6,2.87194964204316,0
WSM,2,4880.54418032056,0.0,4.74838445564714,0
XKX,0,5631.68223392136,0.0,4.5730971681166,0
YEM,2,1079.32938366255,0.0,0.752447592962554,0
ZAF,0,5715.47531469148,0.0,0.534843531905139,1
ZMB,2,1343.38966380353,0.0,3.82004825518591,0
ZWE,2,1417.71894115853,0.0,1.74239524880791,1
